variable,shap_importancia_media_abs
parasitos_totales,0.2068060465328981
parasitos_totales_max_4,0.1938909824508819
juveniles,0.16008095312326154
adultos_moviles,0.1506081938762396
parasitos_totales_media_4,0.13491661070251273
adultos_moviles_media_4,0.1256815139009131
adultos_moviles_max_4,0.11865984857979871
juveniles_media_4,0.11295330202747288
parasitos_totales_lag1,0.10823749787806469
juveniles_max_4,0.08524550504894743
delta_adultos_1,0.08246114248904789
delta_parasitos_1,0.07262521965289824
juveniles_lag1,0.07242477969605228
hembras_ovigeras,0.049600199405192204
adultos_moviles_lag1,0.049041261174279586
hembras_ovigeras_max_4,0.046645536670888076
parasitos_totales_lag3,0.03931537938950783
adultos_moviles_lag3,0.037015385960333644
salinidad,0.035885079701500615
hembras_ovigeras_media_4,0.03537096887416942
anio,0.03477954811347971
adultos_moviles_lag2,0.0344561639414619
delta_juveniles_1,0.030996402172300177
hembras_ovigeras_lag3,0.030392980379362222
juveniles_lag2,0.02720175583824273
semana_cos,0.027070545942144367
parasitos_totales_lag2,0.025790033030462903
salinidad_media_4,0.025630593201263385
salinidad_lag1,0.025627859479203794
adultos_moviles_lag4,0.025184627257601042
hembras_ovigeras_lag4,0.02277055890062734
salinidad_lag2,0.021691264190320886
juveniles_lag4,0.02157964372308333
parasitos_totales_lag4,0.01977455550181744
salinidad_lag3,0.01946877559839738
juveniles_lag3,0.01914095047534192
delta_hembras_1,0.019058224630214185
delta_salinidad_1,0.018399108462688305
hembras_ovigeras_lag1,0.01456305673328331
delta_temperatura_1,0.012910151590122591
hembras_ovigeras_lag2,0.012832931047550363
temperatura_lag3,0.012606359702399268
temperatura_lag4,0.012375833759936715
temperatura,0.012113958035239295
estacion_Invierno,0.011437322291867141
salinidad_lag4,0.010280103234129413
temperatura_media_4,0.010187149154414522
temperatura_lag2,0.009235120940829594
localidad_24175,0.00853215846051475
temperatura_lag1,0.008117637070754878
semana_sin,0.00723354915922389
zona_Sur/Oeste,0.007019854422421422
zona_Norte,0.006723823778135071
localidad_33077,0.006433600725166583
estacion_Otoño,0.004974943221988601
localidad_32677,0.002916659307713564
zona_Centro,0.0023297933285417434
estacion_Verano,0.0015141168102871957
estacion_Primavera,0.0012971296571192726
