modelo,shap_total,shap_proxy,porcentaje_proxy
chile,4.192911954049643,0.4210201342763057,10.041234800307969
conjunto_chile_noruega,3.8129193385816027,0.8323184929219108,21.828903761481914
noruega,2.9732024343450374,0.8030805760863031,27.010625539973116
