año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,Verano,7.049999999999999
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,Verano,7.27
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,Verano,11.46
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,Verano,8.51
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,Verano,13.82
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,Verano,1.08
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,Verano,0.65
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,Verano,1.16
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,Verano,6.42
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,Verano,8.43
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,Verano,10.829999999999998
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,Verano,11.100000000000001
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,Verano,10.43
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,Otoño,7.3500000000000005
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,Otoño,15.28
2014,16,110758,8.32,4.28,3.28,10.477,33.613,Chile,Otoño,15.88
2014,17,110758,0.0,0.0,2.88,10.667,33.512,Chile,Otoño,2.88
2014,18,110758,0.22,0.28,3.3,10.602,33.541,Chile,Otoño,3.8
2014,19,110758,1.42,1.27,2.22,10.49,33.497,Chile,Otoño,4.91
2014,20,110758,2.17,2.55,3.3,10.176,33.434,Chile,Otoño,8.02
2014,21,110758,2.67,2.75,3.15,9.772,33.272,Chile,Otoño,8.57
2014,22,110758,3.45,3.38,3.63,9.855,33.454,Chile,Otoño,10.46
2014,23,110758,3.72,3.92,4.68,9.49,33.26,Chile,Otoño,12.32
2014,24,110758,2.5,4.2,4.6,9.522,33.389,Chile,Otoño,11.3
2014,25,110758,2.1,5.4,7.2,9.481,33.313,Chile,Otoño,14.7
2014,26,110758,NA,NA,NA,9.645,33.362,Chile,Otoño,NA
2014,27,110758,NA,NA,NA,9.64,33.416,Chile,Invierno,NA
2014,28,110758,NA,NA,NA,9.2,33.293,Chile,Invierno,NA
2014,29,110758,NA,NA,NA,9.243,33.293,Chile,Invierno,NA
2014,30,110758,NA,NA,NA,9.017,33.274,Chile,Invierno,NA
2014,31,110758,NA,NA,NA,9.01,33.268,Chile,Invierno,NA
2014,32,110758,NA,NA,NA,9.218,33.316,Chile,Invierno,NA
2014,33,110758,NA,NA,NA,9.041,33.291,Chile,Invierno,NA
2014,34,110758,NA,NA,NA,9.254,33.214,Chile,Invierno,NA
2014,35,110758,NA,NA,NA,9.49,33.147,Chile,Invierno,NA
2014,36,110758,NA,NA,NA,9.829,33.169,Chile,Invierno,NA
2014,37,110758,NA,NA,NA,9.746,33.192,Chile,Invierno,NA
2014,38,110758,NA,NA,NA,9.694,33.161,Chile,Invierno,NA
2014,39,110758,NA,NA,NA,9.644,33.144,Chile,Invierno,NA
2014,40,110758,NA,NA,NA,10.028,32.973,Chile,Primavera,NA
2014,41,110758,NA,NA,NA,10.18,33.071,Chile,Primavera,NA
2014,42,110758,NA,NA,NA,10.266,33.076,Chile,Primavera,NA
2014,43,110758,NA,NA,NA,10.967,33.02,Chile,Primavera,NA
2014,44,110758,NA,NA,NA,10.804,33.077,Chile,Primavera,NA
2014,45,110758,NA,NA,NA,10.785,33.128,Chile,Primavera,NA
2014,46,110758,NA,NA,NA,11.168,33.14,Chile,Primavera,NA
2014,47,110758,NA,NA,NA,11.721,33.092,Chile,Primavera,NA
2014,48,110758,NA,NA,NA,12.125,33.087,Chile,Primavera,NA
2014,49,110758,NA,NA,NA,12.874,33.078,Chile,Primavera,NA
2014,50,110758,NA,NA,NA,12.676,33.162,Chile,Primavera,NA
2014,51,110758,NA,NA,NA,11.849,33.341,Chile,Primavera,NA
2014,52,110758,NA,NA,NA,11.695,33.421,Chile,Primavera,NA
2015,1,110758,NA,NA,NA,12.519,33.291,Chile,Verano,NA
2015,2,110758,NA,NA,NA,12.002,33.428,Chile,Verano,NA
2015,3,110758,NA,NA,NA,11.999,33.479,Chile,Verano,NA
2015,4,110758,NA,NA,NA,12.857,33.438,Chile,Verano,NA
2015,5,110758,NA,NA,NA,13.867,33.332,Chile,Verano,NA
2015,6,110758,NA,NA,NA,13.913,33.302,Chile,Verano,NA
2015,7,110758,NA,NA,NA,12.453,33.496,Chile,Verano,NA
2015,8,110758,NA,NA,NA,11.579,33.614,Chile,Verano,NA
2015,9,110758,NA,NA,NA,11.144,33.679,Chile,Verano,NA
2015,10,110758,NA,NA,NA,11.73,33.623,Chile,Verano,NA
2015,11,110758,NA,NA,NA,12.517,33.522,Chile,Verano,NA
2015,12,110758,NA,NA,NA,12.317,33.452,Chile,Verano,NA
2015,13,110758,NA,NA,NA,12.516,33.322,Chile,Verano,NA
2015,14,110758,1.35,2.67,2.2,12.027,33.416,Chile,Otoño,6.22
2015,15,110758,1.15,2.83,1.23,12.147,33.329,Chile,Otoño,5.21
2015,16,110758,1.35,2.22,1.08,12.157,33.23,Chile,Otoño,4.65
2015,17,110758,1.42,2.63,1.55,11.661,33.297,Chile,Otoño,5.6
