cluster,semanas,promedio_hembras_ovigeras,promedio_adultos_moviles,promedio_juveniles,promedio_adultos_totales,promedio_carga_total,promedio_temperatura,promedio_salinidad,interpretacion
0,778,0.859,0.806,0.503,1.665,2.168,11.035,32.449,Baja carga parasitaria
1,130,3.7,4.545,3.427,8.245,11.673,9.447,32.519,Alta carga parasitaria
