anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2014,43,32677,,,,11.794,32.726,Noruega,Otoño,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,43
2014,44,32677,,,,11.593,32.76,Noruega,Otoño,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,44
2014,45,32677,0.49,3.15,0.03,10.938,32.865,Noruega,Otoño,3.67,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,45
2014,46,32677,0.74,2.76,0.16,10.488,32.983,Noruega,Otoño,3.66,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,46
2014,47,32677,2.43,2.39,0.38,10.153,33.092,Noruega,Otoño,5.2,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,47
2014,48,32677,2.73,2.76,0.3,10.045,33.196,Noruega,Otoño,5.79,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,48
2014,49,32677,2.99,11.03,0.38,9.894,33.203,Noruega,Otoño,14.4,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,49
2014,50,32677,1.46,5.72,0.03,9.317,33.131,Noruega,Otoño,7.21,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,50
2014,51,32677,0.48,3.43,0.07,8.607,33.236,Noruega,Otoño,3.98,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,51
2014,52,32677,0.63,4.26,0.01,7.707,33.266,Noruega,Otoño,4.9,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,52
2015,1,32677,0.56,3.12,0.15,7.634,33.597,Noruega,Invierno,3.83,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,53
2015,2,32677,0.69,2.24,0.36,7.609,33.987,Noruega,Invierno,3.29,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,54
2015,3,32677,0.17,0.29,0.02,7.194,34.072,Noruega,Invierno,0.48,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,55
2015,4,32677,0.19,0.29,0.01,6.714,34.136,Noruega,Invierno,0.49,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,56
2015,5,32677,0.14,0.19,0.28,6.787,34.174,Noruega,Invierno,0.6100000000000001,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,57
2015,6,32677,0.1,0.26,0.11,6.448,34.222,Noruega,Invierno,0.47,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,58
2015,7,32677,0.09,0.67,0.18,6.821,34.253,Noruega,Invierno,0.94,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,59
2015,8,32677,0.1,0.66,0.13,6.78,34.143,Noruega,Invierno,0.89,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,60
2015,9,32677,0.16,1.72,0.5,6.751,34.136,Noruega,Invierno,2.38,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,61
2015,10,32677,0.21,1.98,0.78,6.92,34.173,Noruega,Invierno,2.97,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,62
2015,11,32677,0.51,1.36,0.32,6.73,34.063,Noruega,Invierno,2.19,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,63
2015,12,32677,0.48,2.17,0.11,6.724,34.058,Noruega,Invierno,2.76,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,64
2015,13,32677,0.49,2.36,0.19,6.515,34.043,Noruega,Invierno,3.04,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,65
2015,14,32677,0.68,2.7,0.24,6.516,34.061,Noruega,Primavera,3.62,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,66
2015,15,32677,,,,6.488,33.984,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,67
2015,16,32677,,,,6.573,33.921,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,68
2015,17,32677,0.52,0.9,0.13,6.825,33.889,Noruega,Primavera,1.5499999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,69
2015,18,32677,0.28,0.37,0.18,7.172,33.933,Noruega,Primavera,0.8300000000000001,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,70
2015,19,32677,0.18,0.35,0.13,7.676,33.917,Noruega,Primavera,0.66,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,71
2015,20,32677,0.18,0.48,0.22,7.997,33.905,Noruega,Primavera,0.8799999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,72
2015,21,32677,0.48,0.18,0.55,8.524,33.782,Noruega,Primavera,1.21,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,73
2015,22,32677,0.1,1.05,1.3,9.081,33.599,Noruega,Primavera,2.45,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,74
2015,23,32677,,,,9.165,33.49,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,75
2015,24,32677,,,,9.104,33.463,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,76
2015,25,32677,,,,9.528,33.488,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,77
2015,26,32677,,,,10.499,33.407,Noruega,Primavera,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,78
2015,27,32677,,,,11.471,33.309,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,79
2015,28,32677,,,,11.565,32.83,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,80
2015,29,32677,,,,12.381,32.937,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,81
2015,30,32677,,,,13.178,33.052,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,82
2015,31,32677,,,,13.199,33.09,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,83
2015,32,32677,,,,13.435,33.028,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,84
2015,33,32677,,,,13.783,32.724,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,85
2015,34,32677,0.0,0.02,0.25,15.019,32.656,Noruega,Verano,0.27,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,86
2015,35,32677,0.0,0.13,0.42,15.105,32.522,Noruega,Verano,0.55,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,87
2015,36,32677,0.0,0.16,0.11,14.374,32.454,Noruega,Verano,0.27,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,88
2015,37,32677,0.01,0.19,0.48,13.962,32.506,Noruega,Verano,0.6799999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,89
2015,38,32677,0.0,0.31,0.59,13.969,32.437,Noruega,Verano,0.8999999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,90
2015,39,32677,,,,13.526,32.486,Noruega,Verano,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,91
2015,40,32677,0.0,0.19,0.11,13.128,32.507,Noruega,Otoño,0.3,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,92
2015,41,32677,0.0,0.15,0.52,12.518,32.531,Noruega,Otoño,0.67,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,93
2015,42,32677,0.0,0.13,0.27,12.146,32.395,Noruega,Otoño,0.4,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,94
2015,43,32677,0.0,0.28,0.46,11.906,32.256,Noruega,Otoño,0.74,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,95
2015,44,32677,0.0,0.17,0.38,11.459,32.094,Noruega,Otoño,0.55,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,96
2015,45,32677,0.0,0.45,1.27,11.27,32.018,Noruega,Otoño,1.72,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,97
2015,46,32677,0.02,0.67,1.27,10.752,32.391,Noruega,Otoño,1.96,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,98
2015,47,32677,0.02,1.56,1.76,9.875,32.46,Noruega,Otoño,3.34,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,99
2015,48,32677,0.08,1.24,0.21,9.285,32.618,Noruega,Otoño,1.53,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,100
2015,49,32677,0.12,1.24,0.47,8.936,33.047,Noruega,Otoño,1.83,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,101
2015,50,32677,0.26,1.16,0.35,8.904,33.482,Noruega,Otoño,1.77,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,102
2015,51,32677,0.33,1.16,0.3,8.635,33.426,Noruega,Otoño,1.79,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,103
2015,52,32677,0.06,0.44,0.08,8.462,33.241,Noruega,Otoño,0.58,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,104
2016,1,32677,0.02,0.16,0.02,7.005,33.404,Noruega,Invierno,0.1999999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,105
2016,2,32677,0.12,0.13,0.06,5.993,33.413,Noruega,Invierno,0.31,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,106
2016,3,32677,0.01,0.14,0.01,5.729,33.485,Noruega,Invierno,0.16,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,107
2016,4,32677,0.06,0.15,0.09,6.69,33.853,Noruega,Invierno,0.3,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,108
2016,5,32677,0.01,0.27,0.02,6.679,34.01,Noruega,Invierno,0.3,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,109
2016,6,32677,0.02,0.29,0.3,6.43,34.042,Noruega,Invierno,0.61,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,110
2016,7,32677,0.02,0.29,0.35,6.197,34.093,Noruega,Invierno,0.6599999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,111
