anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2014,36,110758,,,,9.829,33.169,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,36
2014,37,110758,,,,9.746,33.192,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,37
2014,38,110758,,,,9.694,33.161,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,38
2014,39,110758,,,,9.644,33.144,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,39
2014,40,110758,,,,10.028,32.973,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,40
2014,41,110758,,,,10.18,33.071,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,41
2014,42,110758,,,,10.266,33.076,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,42
2014,43,110758,,,,10.967,33.02,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,43
2014,44,110758,,,,10.804,33.077,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,44
2014,45,110758,,,,10.785,33.128,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,45
2014,46,110758,,,,11.168,33.14,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,46
2014,47,110758,,,,11.721,33.092,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,47
2014,48,110758,,,,12.125,33.087,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,48
2014,49,110758,,,,12.874,33.078,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,49
2014,50,110758,,,,12.676,33.162,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,50
2014,51,110758,,,,11.849,33.341,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,51
2014,52,110758,,,,11.695,33.421,Chile,Primavera,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,52
2015,1,110758,,,,12.519,33.291,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,53
2015,2,110758,,,,12.002,33.428,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,54
2015,3,110758,,,,11.999,33.479,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,55
2015,4,110758,,,,12.857,33.438,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,56
2015,5,110758,,,,13.867,33.332,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,57
2015,6,110758,,,,13.913,33.302,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,58
2015,7,110758,,,,12.453,33.496,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,59
2015,8,110758,,,,11.579,33.614,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,60
2015,9,110758,,,,11.144,33.679,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,61
2015,10,110758,,,,11.73,33.623,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,62
2015,11,110758,,,,12.517,33.522,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,63
2015,12,110758,,,,12.317,33.452,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,64
2015,13,110758,,,,12.516,33.322,Chile,Verano,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,65
2015,14,110758,1.35,2.67,2.2,12.027,33.416,Chile,Otoño,6.22,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,66
2015,15,110758,1.15,2.83,1.23,12.147,33.329,Chile,Otoño,5.21,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,67
