variable,Chile,Chile_Noruega,Noruega,Chile_norm,Chile_Noruega_norm,Noruega_norm,promedio_norm
parasitos_totales,0.4423182341901096,0.4097244421795616,0.2068060465328981,0.9664540509715444,1.0,1.0,0.9888180169905149
adultos_moviles,0.4576712506357252,0.3096579505976635,0.1506081938762396,1.0,0.7557712421314519,0.7282581742709409,0.8280098054674644
parasitos_totales_max_4,0.2236069338120148,0.2737518416056075,0.1938909824508819,0.4885754425287039,0.6681364678889131,0.9375498719764864,0.6980872607980344
juveniles,0.258174019969094,0.2100847403969889,0.1600809531232615,0.5641036434132122,0.5127464187379852,0.7740632143354488,0.6169710921622155
parasitos_totales_media_4,0.222612691925988,0.2535266692401264,0.1349166107025127,0.48640304938702034,0.6187736027937978,0.6523823310023509,0.5858529943943896
parasitos_totales_lag1,0.2597098100425267,0.1802303714078033,0.1082374978780646,0.5674593055206734,0.4398819129487457,0.5233768533012718,0.510239357256897
hembras_ovigeras,0.2908733567954787,0.2341506481800609,0.0496001994051922,0.6355508596868232,0.5714832313505096,0.23983921281190365,0.48229110128307884
adultos_moviles_media_4,0.1494952345787891,0.1491337224856684,0.1256815139009131,0.326643271499212,0.3639854183273513,0.6077264954674332,0.4327850617646655
juveniles_media_4,0.1669276035528358,0.1177676917789392,0.1129533020274728,0.3647325527241795,0.28743145308213647,0.546179881686895,0.39944796249773695
adultos_moviles_max_4,0.1137030995071868,0.0987724835432893,0.1186598485797987,0.2484383700073978,0.24107051807273505,0.5737735939984842,0.3544274940262057
juveniles_lag1,0.1524825876197205,0.1081598180717458,0.0724247796960522,0.3331705616376724,0.2639818544785395,0.35020629672223375,0.31578623761281516
juveniles_max_4,0.1171456823275127,0.0837468187819408,0.0852455050489474,0.2559603255935178,0.2043979078632531,0.4122002546738245,0.29085282937686513
adultos_moviles_lag1,0.1746516949547306,0.0612992537172268,0.0490412611742795,0.3816094952700914,0.14961092726404254,0.237136495747856,0.2561189727606633
hembras_ovigeras_max_4,0.1366665746532086,0.0540563518553246,0.046645536670888,0.2986129770296317,0.13193343205928246,0.2255520931466951,0.21869950074520308
delta_parasitos_1,0.053529322775819,0.0718840091219179,0.0726252196528982,0.11696020386131846,0.17544476658391486,0.35117551382302153,0.21452682808941828
delta_adultos_1,0.0345612428730428,0.0525718063916978,0.0824611424890478,0.075515433458046,0.1283101542881794,0.3987366127417852,0.20085406682933685
hembras_ovigeras_media_4,0.0904484131518065,0.0495445702943763,0.0353709688741694,0.19762747392625107,0.1209216858794658,0.1710345005243485,0.16319455344335512
juveniles_lag2,0.0985328365761983,0.0525590405668705,0.0272017558382427,0.21529173274338712,0.12827899718961974,0.13153269110976173,0.1583678070142562
parasitos_totales_lag3,0.0292485196243715,0.0462527018013781,0.0393153793895078,0.06390726877369736,0.11288733851300936,0.1901074946725681,0.1223007006530916
juveniles_lag4,0.0688118799416295,0.0378926777929457,0.0215796437230833,0.15035220116196246,0.09248332267260552,0.10434725717582186,0.11572759367012993
juveniles_lag3,0.0498924154215309,0.0505685300691285,0.0191409504753419,0.10901365412887126,0.12342082839902155,0.09255508142164989,0.10832985464984757
hembras_ovigeras_lag1,0.0546597684060146,0.0480809010535674,0.0145630567332833,0.11943019870723759,0.11734935996934243,0.07041891171671642,0.10239949013109882
parasitos_totales_lag4,0.0564919945441403,0.0350168982862398,0.0197745555018174,0.12343356604914656,0.0854645090245645,0.09561884593481516,0.10150564033617542
adultos_moviles_lag3,0.022754438859851,0.0262608637601301,0.0370153859603336,0.049717868072866926,0.06409396427616902,0.17898599475642168,0.09759927570181921
delta_hembras_1,0.0477039235236515,0.0359253633186079,0.0190582246302141,0.10423185519603576,0.08768176759848664,0.0921550648529146,0.09468956254914566
