cluster,semanas,promedio_hembras_ovigeras,promedio_adultos_moviles,promedio_juveniles,promedio_adultos_totales,promedio_carga_total,promedio_temperatura,promedio_salinidad,interpretacion
0,997,0.154,0.806,0.437,0.96,1.397,9.405,32.992,Baja carga parasitaria
1,63,0.982,7.142,3.852,8.124,11.976,10.055,32.433,Alta carga parasitaria
