pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Centro,32677,32677,2024,11,2024.0,12.0,0.06,0.08,0.6079374999999992,0.06,-0.5279374999999993,0.5279374999999993
Noruega,Centro,32677,32677,2024,12,2024.0,13.0,0.08,0.04,0.4900274789915965,0.08,-0.4500274789915965,0.4500274789915965
Noruega,Centro,32677,32677,2024,13,2024.0,14.0,0.04,0.12,0.15123303783935363,0.04,-0.031233037839353633,0.031233037839353633
Noruega,Centro,32677,32677,2024,14,2024.0,15.0,0.12,0.18,0.11577964907097263,0.12,0.06422035092902736,0.06422035092902736
Noruega,Centro,32677,32677,2024,15,2024.0,16.0,0.18,0.18,0.1410999118909413,0.18,0.038900088109058706,0.038900088109058706
Noruega,Centro,32677,32677,2024,16,2024.0,17.0,0.18,0.37,0.15283571591264014,0.18,0.21716428408735985,0.21716428408735985
Noruega,Centro,32677,32677,2024,17,2024.0,18.0,0.37,0.8900000000000001,0.3839731084656087,0.37,0.5060268915343914,0.5060268915343914
Noruega,Centro,32677,32677,2024,18,2024.0,19.0,0.8900000000000001,1.2000000000000002,0.9420409523809523,0.8900000000000001,0.25795904761904787,0.25795904761904787
Noruega,Centro,32677,32677,2024,19,2024.0,20.0,1.2000000000000002,1.4600000000000002,1.301449497354497,1.2000000000000002,0.1585505026455032,0.1585505026455032
Noruega,Centro,32677,32677,2024,20,2024.0,21.0,1.4600000000000002,1.29,1.6906515873015866,1.4600000000000002,-0.40065158730158656,0.40065158730158656
Noruega,Centro,32677,32677,2024,21,2024.0,22.0,1.29,0.4899999999999999,1.6236456746031753,1.29,-1.1336456746031756,1.1336456746031756
Noruega,Centro,32677,32677,2024,22,2024.0,23.0,0.4899999999999999,0.61,1.0410773292448292,0.4899999999999999,-0.4310773292448292,0.4310773292448292
Noruega,Centro,32677,32677,2024,23,2024.0,24.0,0.61,1.27,1.084224219576719,0.61,0.1857757804232809,0.1857757804232809
Noruega,Centro,32677,32677,2024,24,2024.0,25.0,1.27,3.77,1.693778558201058,1.27,2.0762214417989417,2.0762214417989417
Noruega,Centro,32677,32677,2024,25,2024.0,26.0,3.77,2.0900000000000003,3.9285187764550287,3.77,-1.8385187764550284,1.8385187764550284
Noruega,Centro,32677,32677,2024,26,2024.0,27.0,2.0900000000000003,3.47,3.0489307709495197,2.0900000000000003,0.4210692290504805,0.4210692290504805
Noruega,Centro,32677,32677,2024,27,2024.0,28.0,3.47,3.71,3.68077480820106,3.47,0.02922519179894012,0.02922519179894012
Noruega,Centro,32677,32677,2024,28,2024.0,29.0,3.71,1.14,3.111275631914382,3.71,-1.9712756319143823,1.9712756319143823
Noruega,Centro,32677,32677,2024,29,2024.0,30.0,1.14,3.1300000000000003,2.7964127328302313,1.14,0.33358726716976905,0.33358726716976905
Noruega,Centro,32677,32677,2024,30,2024.0,31.0,3.1300000000000003,0.45,3.3395299002848993,3.1300000000000003,-2.889529900284899,2.889529900284899
Noruega,Centro,32677,32677,2024,31,2024.0,32.0,0.45,2.79,1.9432417299442295,0.45,0.8467582700557705,0.8467582700557705
Noruega,Centro,32677,32677,2024,32,2024.0,33.0,2.79,7.890000000000001,3.1743632997558007,2.79,4.7156367002442,4.7156367002442
Noruega,Centro,32677,32677,2024,33,2024.0,34.0,7.890000000000001,11.66,5.453111798941799,7.890000000000001,6.206888201058201,6.206888201058201
Noruega,Centro,32677,32677,2024,34,2024.0,35.0,11.66,1.18,6.572457936507937,11.66,-5.392457936507937,5.392457936507937
Noruega,Sur/Oeste,33077,33077,2023,17,2023.0,18.0,0.0,0.2,0.22338002645502636,0.0,-0.023380026455026348,0.023380026455026348
Noruega,Sur/Oeste,33077,33077,2023,18,2023.0,19.0,0.2,0.15,0.21109793650793657,0.2,-0.06109793650793657,0.06109793650793657
Noruega,Sur/Oeste,33077,33077,2023,19,2023.0,20.0,0.15,0.35,0.24617744778613201,0.15,0.10382255221386796,0.10382255221386796
Noruega,Sur/Oeste,33077,33077,2023,20,2023.0,21.0,0.35,0.25,0.6141472521581732,0.35,-0.36414725215817323,0.36414725215817323
Noruega,Sur/Oeste,33077,33077,2023,21,2023.0,22.0,0.25,0.1,0.5085087566137566,0.25,-0.40850875661375663,0.40850875661375663
Noruega,Sur/Oeste,33077,33077,2023,22,2023.0,23.0,0.1,0.04,0.37438698412698396,0.1,-0.334386984126984,0.334386984126984
Noruega,Sur/Oeste,33077,33077,2023,23,2023.0,24.0,0.04,0.04,0.27292486772486757,0.04,-0.23292486772486756,0.23292486772486756
Noruega,Sur/Oeste,33077,33077,2023,24,2023.0,25.0,0.04,0.05,0.2902819834307993,0.04,-0.24028198343079932,0.24028198343079932
Noruega,Sur/Oeste,33077,33077,2023,25,2023.0,26.0,0.05,0.14,0.24869312169312158,0.05,-0.10869312169312156,0.10869312169312156
Noruega,Sur/Oeste,33077,33077,2023,26,2023.0,27.0,0.14,0.2,0.2974621693121694,0.14,-0.09746216931216939,0.09746216931216939
Noruega,Sur/Oeste,33077,33077,2023,27,2023.0,28.0,0.2,0.21,0.3083381216931221,0.2,-0.09833812169312209,0.09833812169312209
Noruega,Sur/Oeste,33077,33077,2023,28,2023.0,29.0,0.21,0.49,0.2926330687830688,0.21,0.19736693121693122,0.19736693121693122
Noruega,Sur/Oeste,33077,33077,2023,29,2023.0,30.0,0.49,0.56,0.6706666269841276,0.49,-0.11066662698412755,0.11066662698412755
Noruega,Sur/Oeste,33077,33077,2023,30,2023.0,31.0,0.56,1.12,0.7259493650793651,0.56,0.39405063492063497,0.39405063492063497
Noruega,Sur/Oeste,33077,33077,2023,31,2023.0,32.0,1.12,1.34,1.7592241137566154,1.12,-0.4192241137566153,0.4192241137566153
Noruega,Sur/Oeste,33077,33077,2023,32,2023.0,33.0,1.34,1.78,2.150330343915344,1.34,-0.37033034391534403,0.37033034391534403
Noruega,Sur/Oeste,33077,33077,2023,33,2023.0,34.0,1.78,0.08,2.5911527380952366,1.78,-2.5111527380952365,2.5111527380952365
Noruega,Sur/Oeste,33077,33077,2023,34,2023.0,35.0,0.08,1.85,1.4471251190476184,0.08,0.40287488095238166,0.40287488095238166
Noruega,Sur/Oeste,33077,33077,2023,35,2023.0,36.0,1.85,3.6,2.589501129148628,1.85,1.010498870851372,1.010498870851372
Noruega,Sur/Oeste,33077,33077,2023,36,2023.0,37.0,3.6,0.37,4.003693730158729,3.6,-3.633693730158729,3.633693730158729
Noruega,Sur/Oeste,33077,33077,2023,37,2023.0,38.0,0.37,2.32,1.8242963331188324,0.37,0.4957036668811674,0.4957036668811674
Noruega,Sur/Oeste,33077,33077,2023,38,2023.0,39.0,2.32,5.44,3.7512528013728046,2.32,1.6887471986271958,1.6887471986271958
Noruega,Sur/Oeste,33077,33077,2023,39,2023.0,40.0,5.44,5.220000000000001,5.036968306878307,5.44,0.18303169312169398,0.18303169312169398
Noruega,Sur/Oeste,33077,33077,2023,40,2023.0,41.0,5.220000000000001,2.17,3.2430027369852366,5.220000000000001,-1.0730027369852366,1.0730027369852366
Noruega,Sur/Oeste,33077,33077,2023,41,2023.0,42.0,2.17,13.579999999999998,4.657862857142859,2.17,8.922137142857139,8.922137142857139
Noruega,Sur/Oeste,33077,33077,2023,42,2023.0,43.0,13.579999999999998,10.19,10.581554867724872,13.579999999999998,-0.3915548677248726,0.3915548677248726
Noruega,Sur/Oeste,33077,33077,2023,43,2023.0,44.0,10.19,3.2,11.017428928571444,10.19,-7.817428928571444,7.817428928571444
Noruega,Sur/Oeste,33077,33077,2023,44,2023.0,45.0,3.2,8.31,7.722065423280416,3.2,0.5879345767195847,0.5879345767195847
Noruega,Sur/Oeste,33077,33077,2023,45,2023.0,46.0,8.31,11.28,10.341628359788368,8.31,0.9383716402116313,0.9383716402116313
Noruega,Sur/Oeste,33077,33077,2023,46,2023.0,47.0,11.28,5.720000000000001,9.888235978835992,11.28,-4.168235978835991,4.168235978835991
Noruega,Sur/Oeste,33077,33077,2023,47,2023.0,48.0,5.720000000000001,0.75,5.4773945658970655,5.720000000000001,-4.7273945658970655,4.7273945658970655
