fecha,profundidad_m,latitud_promedio,longitud_promedio,temperatura_C,salinidad_PSU,archivo_origen,codigo_establecimiento,centro
2014-01-01,0.49402502,-42.75,-73.0,15.18789229542017,33.1095308996737,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-02,0.49402502,-42.75,-73.0,14.961567029356956,33.12428151257336,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-03,0.49402502,-42.75,-73.0,14.584521017968655,33.146661752834916,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-04,0.49402502,-42.75,-73.0,14.77105014771223,33.15005269832909,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-05,0.49402502,-42.75,-73.0,15.205715104937553,33.15581730566919,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-06,0.49402502,-42.75,-73.0,15.293120115995407,33.15581730566919,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-07,0.49402502,-42.75,-73.0,15.28221483528614,33.168363803997636,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-08,0.49402502,-42.75,-73.0,15.364492736756802,33.16938108764589,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-09,0.49402502,-42.75,-73.0,15.41267129033804,33.16887244582176,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-10,0.49402502,-42.75,-73.0,15.31875566393137,33.18803128786385,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-11,0.49402502,-42.75,-73.0,15.46215196698904,33.20668148808181,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-12,0.49402502,-42.75,-73.0,15.860031947493553,33.21685432456434,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-13,0.49402502,-42.75,-73.0,16.21412803977728,33.214650209993124,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-14,0.49402502,-42.75,-73.0,16.416445411741734,33.213124284520745,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-15,0.49402502,-42.75,-73.0,16.082857757806778,33.234995882958174,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-16,0.49402502,-42.75,-73.0,16.150161243975163,33.24669464491308,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-17,0.49402502,-42.75,-73.0,16.52110355347395,33.24889875948429,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-18,0.49402502,-42.75,-73.0,16.565294355154037,33.25618929229677,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-19,0.49402502,-42.75,-73.0,16.646025985479355,33.26517529785633,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-20,0.49402502,-42.75,-73.0,16.622425004839897,33.2451687194407,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-21,0.49402502,-42.75,-73.0,16.180191457271576,33.23109629563987,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
2014-01-22,0.49402502,-42.75,-73.0,15.976897493004799,33.22346666827798,Centro_102424_temp_sal_2014.nc,100660,Fiordo Blanco
