año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2016,39,102424,0.6,0.38,0.17
2016,40,102424,0.65,0.43,0.15
2016,41,102424,0.7,0.57,0.22
2016,42,102424,0.55,0.47,0.15
2016,43,102424,0.7,0.45,0.25
2016,44,102424,0.75,0.57,0.17
2016,45,102424,0.6,0.5,0.25
2016,46,102424,0.9,0.52,0.15
2016,47,102424,0.95,0.57,0.25
2016,48,102424,0.8,0.63,0.22
2016,49,102424,1.05,0.57,0.22
2016,50,102424,1.4,0.85,0.25
2016,51,102424,1.0,0.95,0.28
2016,52,102424,1.25,0.8,0.35
2017,1,102424,1.5,0.85,0.32
2017,2,102424,1.02,0.82,0.3
2017,3,102424,1.1,0.88,0.25
2017,4,102424,1.15,0.95,0.3
2017,5,102424,0.85,0.93,0.28
2017,6,102424,1.5,1.15,0.3
2017,7,102424,1.4,1.4,0.2
2017,8,102424,NA,NA,NA
2017,9,102424,NA,NA,NA
2017,10,102424,NA,NA,NA
2017,11,102424,NA,NA,NA
2017,12,102424,NA,NA,NA
2017,13,102424,NA,NA,NA
2017,14,102424,NA,NA,NA
2017,15,102424,NA,NA,NA
2017,16,102424,NA,NA,NA
2017,17,102424,NA,NA,NA
2017,18,102424,NA,NA,NA
2017,19,102424,NA,NA,NA
2017,20,102424,NA,NA,NA
2017,21,102424,NA,NA,NA
2017,22,102424,NA,NA,NA
2017,23,102424,NA,NA,NA
2017,24,102424,NA,NA,NA
2017,25,102424,NA,NA,NA
2017,26,102424,NA,NA,NA
2017,27,102424,NA,NA,NA
2017,28,102424,NA,NA,NA
2017,29,102424,NA,NA,NA
2017,30,102424,NA,NA,NA
2017,31,102424,NA,NA,NA
2017,32,102424,NA,NA,NA
2017,33,102424,NA,NA,NA
2017,34,102424,NA,NA,NA
2017,35,102424,NA,NA,NA
2017,36,102424,NA,NA,NA
2017,37,102424,NA,NA,NA
2017,38,102424,NA,NA,NA
2017,39,102424,NA,NA,NA
2017,40,102424,NA,NA,NA
2017,41,102424,NA,NA,NA
2017,42,102424,NA,NA,NA
2017,43,102424,0.0,0.0,0.13
2017,44,102424,0.0,0.13,0.15
2017,45,102424,0.03,0.05,0.08
2017,46,102424,0.08,0.1,0.1
2017,47,102424,0.28,0.15,0.2
2017,48,102424,0.0,0.1,0.1
2017,49,102424,0.7,0.55,0.13
2017,50,102424,0.55,0.35,0.28
2017,51,102424,0.32,0.32,0.22
2017,52,102424,0.77,0.38,0.25
2018,1,102424,1.23,0.73,0.3
2018,2,102424,1.08,0.55,0.28
2018,3,102424,1.2,0.55,0.28
2018,4,102424,1.27,0.7,0.28
2018,5,102424,0.73,0.5,0.22
2018,6,102424,0.9,0.7,0.25
2018,7,102424,0.63,0.45,0.25
2018,8,102424,0.4,0.25,0.03
2018,9,102424,0.32,0.25,0.13
2018,10,102424,0.35,0.22,0.13
2018,11,102424,0.4,0.43,0.15
2018,12,102424,0.43,0.25,0.3
2018,13,102424,0.43,0.25,0.3
2018,14,102424,0.7,0.88,0.22
2018,15,102424,0.73,0.45,0.13
2018,16,102424,0.55,0.65,0.3
2018,17,102424,0.85,0.82,0.03
2018,18,102424,0.85,0.47,0.45
2018,19,102424,0.82,0.57,0.2
2018,20,102424,0.77,0.55,0.15
2018,21,102424,0.85,0.63,0.28
2018,22,102424,0.95,0.63,0.22
2018,23,102424,0.43,0.35,0.13
2018,24,102424,0.98,0.55,0.22
2018,25,102424,0.82,0.4,0.2
2018,26,102424,0.9,0.77,0.05
2018,27,102424,1.0,0.63,0.15
2018,28,102424,1.02,0.65,0.3
2018,29,102424,0.82,0.57,0.25
2018,30,102424,1.13,0.73,0.3
2018,31,102424,1.2,1.0,0.3
2018,32,102424,1.5,1.35,0.5
2018,33,102424,1.35,0.93,0.32
2018,34,102424,1.17,0.82,0.15
2018,35,102424,1.17,1.3,0.22
2018,36,102424,1.58,0.8,0.17
2018,37,102424,1.6,1.15,0.22
2018,38,102424,1.25,0.82,0.0
2018,39,102424,1.73,0.95,0.17
2018,40,102424,1.6,1.13,0.22
2018,41,102424,0.73,0.73,0.1
2018,42,102424,0.65,0.45,0.47
2018,43,102424,1.25,0.9,0.22
2018,44,102424,0.45,0.4,0.45
2018,45,102424,0.82,0.63,0.38
2018,46,102424,0.9,0.8,0.43
2018,47,102424,0.7,0.73,0.5
2018,48,102424,1.38,0.5,1.25
2018,49,102424,1.42,0.95,0.93
2018,50,102424,1.77,1.33,0.28
2018,51,102424,2.03,1.35,0.68
2018,52,102424,2.1,1.38,0.43
2019,1,102424,1.92,1.17,0.4
2019,2,102424,2.03,1.2,0.43
2019,3,102424,2.15,1.2,0.4
2019,4,102424,1.97,1.33,0.5
2019,5,102424,2.15,1.45,0.6
2019,6,102424,NA,NA,NA
2019,7,102424,NA,NA,NA
2019,8,102424,NA,NA,NA
2019,9,102424,NA,NA,NA
2019,10,102424,NA,NA,NA
2019,11,102424,NA,NA,NA
2019,12,102424,NA,NA,NA
2019,13,102424,NA,NA,NA
2019,14,102424,NA,NA,NA
2019,15,102424,NA,NA,NA
2019,16,102424,NA,NA,NA
2019,17,102424,NA,NA,NA
2019,18,102424,NA,NA,NA
2019,19,102424,NA,NA,NA
2019,20,102424,NA,NA,NA
2019,21,102424,NA,NA,NA
2019,22,102424,NA,NA,NA
2019,23,102424,NA,NA,NA
2019,24,102424,NA,NA,NA
2019,25,102424,NA,NA,NA
2019,26,102424,NA,NA,NA
2019,27,102424,NA,NA,NA
2019,28,102424,NA,NA,NA
2019,29,102424,NA,NA,NA
2019,30,102424,NA,NA,NA
2019,31,102424,NA,NA,NA
2019,32,102424,NA,NA,NA
2019,33,102424,NA,NA,NA
2019,34,102424,NA,NA,NA
2019,35,102424,NA,NA,NA
2019,36,102424,NA,NA,NA
2019,37,102424,NA,NA,NA
2019,38,102424,NA,NA,NA
2019,39,102424,NA,NA,NA
2019,40,102424,NA,NA,NA
2019,41,102424,NA,NA,NA
2019,42,102424,NA,NA,NA
2019,43,102424,0.0,0.0,0.63
2019,44,102424,0.08,0.05,0.17
2019,45,102424,0.38,0.43,0.35
2019,46,102424,0.52,0.45,0.57
2019,47,102424,0.65,0.73,0.5
2019,48,102424,1.1,1.3,0.43
2019,49,102424,1.92,1.0,0.47
2019,50,102424,2.1,2.5,1.4
2019,51,102424,1.77,1.77,0.73
2019,52,102424,1.98,2.38,0.85
2020,1,102424,2.1,2.7,0.28
2020,2,102424,1.88,1.77,0.25
2020,3,102424,2.0,1.7,0.17
2020,4,102424,2.15,1.67,0.68
2020,5,102424,2.03,1.77,1.0
2020,6,102424,1.23,2.0,0.95
2020,7,102424,1.17,1.8,0.7
2020,8,102424,1.55,1.88,0.93
2020,9,102424,2.47,2.2,0.55
2020,10,102424,2.45,2.28,0.8
2020,11,102424,1.2,1.65,1.27
2020,12,102424,2.3,1.98,1.08
2020,13,102424,2.38,2.05,0.82
2020,14,102424,2.42,2.58,0.77
2020,15,102424,2.4,2.42,0.65
2020,16,102424,2.63,3.0,0.7
2020,17,102424,2.17,1.8,0.6
2020,18,102424,2.13,1.88,0.52
2020,19,102424,1.27,1.58,0.22
2020,20,102424,1.77,1.63,0.5
2020,21,102424,1.85,1.98,0.45
2020,22,102424,1.8,1.88,0.8
2020,23,102424,1.5,1.42,0.52
2020,24,102424,1.4,1.25,0.55
2020,25,102424,1.3,1.2,0.7
2020,26,102424,1.35,1.63,0.52
2020,27,102424,2.25,1.88,0.35
2020,28,102424,2.53,1.7,1.3
2020,29,102424,0.7,0.6,0.45
2020,30,102424,0.15,0.35,0.13
2020,31,102424,0.3,0.5,0.35
2020,32,102424,0.6,0.57,0.4
2020,33,102424,0.65,0.77,0.52
2020,34,102424,0.73,0.75,0.57
2020,35,102424,0.95,1.02,0.38
2020,36,102424,1.02,1.73,0.32
2020,37,102424,1.27,1.42,0.52
2020,38,102424,1.75,1.77,0.43
2020,39,102424,1.58,1.77,0.9
2020,40,102424,1.63,1.05,0.68
2020,41,102424,1.75,1.58,0.8
2020,42,102424,1.8,1.63,0.85
2020,43,102424,1.95,1.65,0.68
2020,44,102424,2.25,2.15,0.75
2020,45,102424,NA,NA,NA
2020,46,102424,NA,NA,NA
