año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2014,1,33077,0.3,0.85,0.95
2014,2,33077,0.35,1.1,1.3
2014,3,33077,0.46,1.88,0.88
2014,4,33077,,,
2014,5,33077,,,
2014,6,33077,0.0,0.0,0.0
2014,7,33077,0.0,0.0,2.15
2014,8,33077,0.0,0.15,3.25
2014,9,33077,0.0,0.35,2.05
2014,10,33077,0.0,1.25,2.0
2014,11,33077,0.0,1.7,1.7
2014,12,33077,0.0,0.4,0.25
2014,13,33077,0.0,0.35,1.05
2014,14,33077,0.0,0.7,1.0
2014,15,33077,0.1,0.95,1.05
2014,16,33077,,,
2014,17,33077,0.25,3.7,2.45
2014,18,33077,0.4,2.9,1.55
2014,19,33077,0.46,3.22,2.42
2014,20,33077,0.02,0.32,0.0
2014,21,33077,0.05,0.55,0.23
2014,22,33077,0.08,0.15,1.4
2014,23,33077,0.07,0.4,0.9
2014,24,33077,0.2,0.87,0.0
2014,25,33077,0.23,0.8,0.0
2014,26,33077,0.47,1.27,0.0
2014,27,33077,,,
2014,28,33077,0.2,0.65,0.0
2014,29,33077,0.1,0.8,0.0
2014,30,33077,0.1,0.7,0.35
2014,31,33077,0.35,1.05,0.7
2014,32,33077,0.4,1.85,0.0
2014,33,33077,0.35,0.8,0.0
2014,34,33077,0.45,1.2,0.3
2014,35,33077,0.5,1.3,0.3
2014,36,33077,0.8,5.1,3.9
2014,37,33077,0.1,0.3,0.0
2014,38,33077,0.1,0.3,0.6
2014,39,33077,,,
2014,40,33077,,,
2014,41,33077,,,
2014,42,33077,,,
2014,43,33077,,,
2014,44,33077,,,
2014,45,33077,,,
2014,46,33077,,,
2014,47,33077,,,
2014,48,33077,,,
2014,49,33077,,,
2014,50,33077,,,
2014,51,33077,,,
2014,52,33077,,,
2015,1,33077,,,
2015,2,33077,,,
2015,3,33077,,,
2015,4,33077,,,
2015,5,33077,,,
2015,6,33077,,,
2015,7,33077,,,
2015,8,33077,,,
2015,9,33077,,,
2015,10,33077,,,
2015,11,33077,,,
2015,12,33077,,,
2015,13,33077,,,
2015,14,33077,,,
2015,15,33077,,,
2015,16,33077,,,
2015,17,33077,,,
2015,18,33077,,,
2015,19,33077,,,
2015,20,33077,,,
2015,21,33077,0.0,0.0,0.43
2015,22,33077,0.0,0.22,0.18
2015,23,33077,0.0,0.38,0.12
2015,24,33077,0.0,0.85,0.2
2015,25,33077,0.0,0.75,0.15
2015,26,33077,0.0,0.6,0.25
2015,27,33077,0.0,0.45,0.05
2015,28,33077,0.0,0.45,0.1
2015,29,33077,0.0,0.2,0.0
2015,30,33077,0.0,0.3,0.0
2015,31,33077,0.0,0.15,0.0
2015,32,33077,,,
2015,33,33077,0.0,0.2,0.0
2015,34,33077,0.0,0.2,0.0
