cluster,semanas,promedio_hembras_ovigeras,promedio_adultos_moviles,promedio_juveniles,promedio_adultos_totales,promedio_carga_total,promedio_temperatura,promedio_salinidad,interpretacion
0,1756,0.44,0.79,0.449,1.231,1.68,10.085,32.764,Baja carga parasitaria
1,212,2.79,5.113,3.429,7.903,11.332,9.97,32.434,Alta carga parasitaria
