variable,importancia_media,importancia_std
parasitos_totales_max_4,0.11693453223398712,0.012001501300685521
parasitos_totales,0.10953496317421174,0.023335270515323067
parasitos_totales_media_4,0.08987505323956713,0.005782603682133488
adultos_moviles_media_4,0.07738222362836149,0.009430845336905778
adultos_moviles,0.046407643793344056,0.011158317912182216
adultos_moviles_max_4,0.043643139804950694,0.004839159910220969
juveniles_max_4,0.042493408418851034,0.004854860192308931
juveniles,0.03654243549159184,0.022097493109843495
juveniles_media_4,0.0312679547884227,0.005827353783148104
parasitos_totales_lag1,0.028414681841272403,0.00459554807894388
parasitos_totales_lag2,0.023762974119112545,0.004305111418826902
delta_adultos_1,0.019405055321854815,0.003971922750104662
parasitos_totales_lag3,0.016650214275204345,0.003343820266960744
delta_parasitos_1,0.016126373537842742,0.006462752439762005
juveniles_lag2,0.013120725561440904,0.0034401212742553883
adultos_moviles_lag1,0.012854928454837156,0.0036243878346501343
hembras_ovigeras_max_4,0.01242535433482348,0.0051491276583253255
adultos_moviles_lag2,0.012037921992963474,0.004780612310837997
delta_juveniles_1,0.008088258416852723,0.0042043354350335
adultos_moviles_lag3,0.007974602265220376,0.0021834861629395864
hembras_ovigeras,0.007484949886711556,0.0053003205495578045
parasitos_totales_lag4,0.007244710462008896,0.005330175554269431
salinidad,0.005357883311444001,0.0042039392872505665
temperatura,0.005288034672935061,0.001771055781883238
salinidad_lag4,0.005172876587032471,0.004529315751289028
temperatura_media_4,0.004876213342627533,0.0015723026360910527
temperatura_lag2,0.0048150325257763525,0.001622679782650011
juveniles_lag4,0.00462568068276048,0.0032932626874425325
salinidad_lag1,0.004040662062543676,0.0033527665392699448
adultos_moviles_lag4,0.004013682128298601,0.002694163106857129
temperatura_lag3,0.003738694354930061,0.002117709124347578
hembras_ovigeras_lag2,0.003538833494915128,0.0015083286404293423
temperatura_lag1,0.003334216384517319,0.0012881477868060048
hembras_ovigeras_media_4,0.003229652506645575,0.004618478334380129
salinidad_lag3,0.0031916582173526554,0.00437815008639041
juveniles_lag1,0.0029738371190895395,0.0035903707387991103
temperatura_lag4,0.0026544061699079525,0.0012973965928318528
juveniles_lag3,0.0025408284827217907,0.003859206269668811
semana_sin,0.001954381080207268,0.0010689407179745672
delta_hembras_1,0.0016904940085827659,0.001902893481504697
salinidad_lag2,0.001479231455008545,0.0025002737544700185
localidad,0.0006913763898313885,0.0005596416375963417
zona,0.0005428933013503556,0.000689337859415107
salinidad_media_4,0.00038247745377559814,0.0023019377678618206
hembras_ovigeras_lag1,0.000223831624480475,0.002931216133062277
delta_temperatura_1,0.00018274594782301533,0.0026864993863262203
anio,0.0,0.0
pais,0.0,0.0
hembras_ovigeras_lag4,-1.5099988631916973e-06,0.0037916206053467917
estacion,-0.0005131262870627484,0.0009901495420847077
hembras_ovigeras_lag3,-0.0021684096219389383,0.0018737517619525673
semana_cos,-0.005131196389949233,0.0035797797954220346
delta_salinidad_1,-0.006737643971285711,0.0032213447144508107
