pais,n,observado_promedio,predicho_promedio,MAE,sesgo,RMSE
Chile,144,6.059027777777778,5.384113019262278,2.312360373736025,0.6749147585154996,4.260999494873576
Noruega,134,1.6409701492537314,1.9856013855539671,1.0364892673368815,-0.34463123630023584,1.9150650683373631
