nivel_carga_observada,n,observado_promedio,predicho_promedio,MAE,sesgo,RMSE
alta,95,9.034736842105263,7.0716745949036355,3.034207469260272,1.9630622472016275,5.163676473393441
baja,92,0.2907608695652174,0.864381534639877,0.6004080394100163,-0.5736206650746596,1.2070359530977042
intermedia,91,2.2784615384615385,3.187370030058083,1.4107934773151916,-0.9089084915965447,2.196016767724829
