zona,n,observado_promedio,predicho_promedio,MAE,sesgo,RMSE
Aysén,25,4.2372,4.9389694831709985,1.726758344065658,-0.7017694831709989,2.0391677830735664
Los Lagos,37,5.657837837837838,5.451856901325029,1.3590333063501818,0.20598093651280877,1.8299594380683684
Magallanes,82,6.795487804878049,5.96176836255631,3.000573784095309,0.833719442321739,5.241563806358173
